Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2011-04-13,WSH,Semin Alexander,WSH,2-1,NYR,1,18:24
2011-04-14,SJS,Pavelski Joe,SJS,3-2,LAK,1,14:44
2011-04-19,LAK,Setoguchi Devin,SJS,6-5,LAK,1,3:09
2011-04-20,NYR,Chimera Jason,WSH,4-3,NYR,2,32:36
2011-04-20,TBL,Neal James,PIT,3-2,TBL,2,23:38
2011-04-21,MTL,Ryder Michael,BOS,5-4,MTL,1,1:59
2011-04-22,ANA,Smithson Jerred,NSH,4-3,ANA,1,1:57
2011-04-22,PHI,Ennis Tyler,BUF,4-3,PHI,1,5:31
2011-04-23,BOS,Horton Nathan,BOS,2-1,MTL,2,29:03
2011-04-24,BUF,Leino Ville,PHI,5-4,BUF,1,4:43
2011-04-24,CHI,Smith Ben,CHI,4-3,VAN,1,15:30
2011-04-25,LAK,Thornton Joe,SJS,4-3,LAK,1,2:22
2011-04-26,VAN,Burrows Alexandre,VAN,2-1,CHI,1,5:22
2011-04-27,BOS,Horton Nathan,BOS,4-3,MTL,1,5:43
2011-04-29,SJS,Ferriero Benn,SJS,2-1,DET,1,7:03
2011-04-30,VAN,Halischuk Matt,NSH,2-1,VAN,2,34:51
2011-05-01,WSH,Lecavalier Vincent,TBL,3-2,WSH,1,6:19
2011-05-02,PHI,Krejci David,BOS,3-2,PHI,1,14:00
2011-05-03,NSH,Kesler Ryan,VAN,3-2,NSH,1,10:49
2011-05-04,DET,Setoguchi Devin,SJS,4-3,DET,1,9:21
2011-05-24,VAN,Bieksa Kevin,VAN,3-2,SJS,2,30:18
2011-06-04,VAN,Burrows Alexandre,VAN,3-2,BOS,1,0:11
