Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2012-04-11,PIT,Voracek Jakub,PHI,4-3,PIT,1,2:23
2012-04-12,BOS,Kelly Chris,BOS,1-0,WSH,1,1:18
2012-04-12,PHX,Hanzal Martin,PHX,3-2,CHI,1,9:29
2012-04-12,STL,Havlat Martin,SJS,3-2,STL,2,23:34
2012-04-14,BOS,Backstrom Nicklas,WSH,2-1,BOS,2,2:56
2012-04-14,NYR,Neil Chris,OTT,3-2,NYR,1,1:17
2012-04-14,PHX,Bickell Bryan,CHI,4-3,PHX,1,10:36
2012-04-17,CHI,Boedker Mikkel,PHX,3-2,CHI,1,13:15
2012-04-18,OTT,Turris Kyle,OTT,3-2,NYR,1,2:42
2012-04-19,CHI,Boedker Mikkel,PHX,3-2,CHI,1,2:15
2012-04-21,PHX,Toews Jonathan,CHI,2-1,PHX,1,2:44
2012-04-22,VAN,Stoll Jarret,LAK,2-1,VAN,1,4:27
2012-04-22,WSH,Seguin Tyler,BOS,4-3,WSH,1,3:17
2012-04-24,NJD,Zajac Travis,NJD,3-2,FLA,1,5:39
2012-04-25,BOS,Ward Joel,WSH,2-1,BOS,1,2:57
2012-04-26,FLA,Henrique Adam,NJD,3-2,FLA,2,23:47
2012-04-27,PHX,Whitney Ray,PHX,4-3,NSH,1,14:04
2012-04-29,PHI,Briere Daniel,PHI,4-3,NJD,1,4:36
2012-05-02,WSH,Gaborik Marian,NYR,2-1,WSH,3,54:41
2012-05-03,NJD,Ponikarovsky Alexei,NJD,4-3,PHI,1,17:21
2012-05-07,NYR,Staal Marc,NYR,3-2,WSH,1,1:35
2012-05-22,PHX,Penner Dustin,LAK,4-3,PHX,1,17:42
2012-05-25,NJD,Henrique Adam,NJD,3-2,NYR,1,1:03
2012-05-30,NJD,Kopitar Anze,LAK,2-1,NJD,1,8:13
2012-06-02,NJD,Carter Jeff,LAK,2-1,NJD,1,13:42
