Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2010-04-15,VAN,Samuelsson Mikael,VAN,3-2,LAK,1,8:52
2010-04-15,WSH,Plekanec Tomas,MTL,3-2,WSH,1,13:19
2010-04-16,SJS,Setoguchi Devin,SJS,6-5,COL,1,5:22
2010-04-17,VAN,Kopitar Anze,LAK,3-2,VAN,1,7:28
2010-04-17,WSH,Backstrom Nicklas,WSH,6-5,MTL,1,0:31
2010-04-18,COL,O'Reilly Ryan,COL,1-0,SJS,1,0:51
2010-04-18,PHI,Carcillo Daniel,PHI,3-2,NJD,1,3:35
2010-04-20,COL,Pavelski Joe,SJS,2-1,COL,1,10:24
2010-04-21,BOS,Satan Miroslav,BOS,3-2,BUF,2,27:41
2010-04-22,PIT,Carkner Matt,OTT,4-3,PIT,3,47:06
2010-04-24,CHI,Hossa Marian,CHI,5-4,NSH,1,4:07
2010-04-24,OTT,Dupuis Pascal,PIT,4-3,OTT,1,9:56
2010-05-01,BOS,Savard Marc,BOS,5-4,PHI,1,13:52
2010-05-04,DET,Marleau Patrick,SJS,4-3,DET,1,7:07
2010-05-07,PHI,Gagne Simon,PHI,5-4,BOS,1,14:40
2010-05-21,CHI,Byfuglien Dustin,CHI,3-2,SJS,1,12:24
2010-06-02,PHI,Giroux Claude,PHI,4-3,CHI,1,5:59
2010-06-09,PHI,Kane Patrick,CHI,4-3,PHI,1,4:06
