Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2006-04-21,CGY,McCarty Darren,CGY,2-1,MDA,1,9:45
2006-04-21,DET,Maltby Kirk,DET,3-2,EDM,2,22:39
2006-04-22,BUF,Briere Daniel,BUF,3-2,PHI,2,27:31
2006-04-24,CAR,Ryder Michael,MTL,6-5,CAR,2,22:32
2006-04-24,DAL,Sakic Joe,COL,5-4,DAL,1,4:36
2006-04-25,EDM,Stoll Jarret,EDM,4-3,DET,2,28:44
2006-04-26,COL,Tanguay Alex,COL,4-3,DAL,1,1:09
2006-04-26,MTL,Staal Eric,CAR,2-1,MTL,1,3:38
2006-04-27,MDA,O'Donnell Sean,MDA,3-2,CGY,1,1:36
2006-04-30,DAL,Brunette Andrew,COL,3-2,DAL,1,13:55
2006-05-02,MTL,Stillman Cory,CAR,2-1,MTL,1,1:19
2006-05-05,OTT,Drury Chris,BUF,7-6,OTT,1,0:18
2006-05-08,CAR,Wallin Niclas,CAR,3-2,NJD,1,3:09
2006-05-09,COL,Lupul Joffrey,MDA,4-3,COL,1,16:30
2006-05-10,BUF,Dumont J.P.,BUF,3-2,OTT,1,5:05
2006-05-10,EDM,Horcoff Shawn,EDM,3-2,SJS,3,42:24
2006-05-13,OTT,Pominville Jason,BUF,3-2,OTT,1,2:26
2006-05-28,CAR,Stillman Cory,CAR,4-3,BUF,1,8:46
2006-05-30,BUF,Briere Daniel,BUF,2-1,CAR,1,4:22
2006-06-14,CAR,Pisani Fernando,EDM,4-3,CAR,1,3:31
