Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2007-04-11,NSH,Rissmiller Patrick,SJS,5-4,NSH,2,28:14
2007-04-11,VAN,Sedin Henrik,VAN,5-4,DAL,4,78:06
2007-04-15,DAL,Pyatt Taylor,VAN,2-1,DAL,1,7:47
2007-04-18,TBL,Gomez Scott,NJD,4-3,TBL,1,12:54
2007-04-19,VAN,Morrow Brenden,DAL,1-0,VAN,1,6:22
2007-04-22,CGY,Franzen Johan,DET,2-1,CGY,2,24:23
2007-04-27,ANA,Cowan Jeff,VAN,2-1,ANA,2,27:49
2007-04-28,NJD,Langenbrunner Jamie,NJD,3-2,OTT,2,21:55
2007-04-29,NYR,Rozsival Michal,NYR,2-1,BUF,2,36:43
2007-05-01,VAN,Moen Travis,ANA,3-2,VAN,1,2:07
2007-05-02,SJS,Schneider Mathieu,DET,3-2,SJS,1,16:04
2007-05-03,ANA,Niedermayer Scott,ANA,2-1,VAN,2,24:30
2007-05-04,BUF,Afinogenov Maxim,BUF,2-1,NYR,1,4:39
2007-05-12,BUF,Corvo Joe,OTT,4-3,BUF,2,24:58
2007-05-13,DET,Niedermayer Scott,ANA,4-3,DET,1,14:17
2007-05-19,BUF,Alfredsson Daniel,OTT,3-2,BUF,1,9:32
2007-05-20,DET,Selanne Teemu,ANA,2-1,DET,1,11:57
