Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2014-04-16,TBL,Weise Dale,MTL,5-4,TBL,1,18:08
2014-04-17,COL,Stastny Paul,COL,5-4,MIN,1,7:27
2014-04-17,STL,Steen Alex,STL,4-3,CHI,3,40:26
2014-04-19,PIT,Calvert Matt,CBJ,4-3,PIT,2,21:10
2014-04-19,STL,Jackman Barret,STL,4-3,CHI,1,5:50
2014-04-21,MIN,Granlund Mikael,MIN,1-0,COL,1,5:08
2014-04-22,LAK,Marleau Patrick,SJS,4-3,LAK,1,6:20
2014-04-23,CBJ,Foligno Nick,CBJ,4-3,PIT,1,2:49
2014-04-23,CHI,Kane Patrick,CHI,4-3,STL,1,11:17
2014-04-24,DET,Iginla Jarome,BOS,3-2,DET,1,13:32
2014-04-25,STL,Toews Jonathan,CHI,3-2,STL,1,7:36
2014-04-26,COL,MacKinnon Nathan,COL,4-3,MIN,1,3:27
2014-04-27,DAL,Bonino Nick,ANA,5-4,DAL,1,2:47
2014-04-30,COL,Niederreiter Nino,MIN,5-4,COL,1,5:02
2014-05-01,BOS,Subban P.K.,MTL,4-3,BOS,2,24:17
2014-05-02,PIT,Brassard Derick,NYR,3-2,PIT,1,3:06
2014-05-03,ANA,Gaborik Marian,LAK,3-2,ANA,1,12:07
2014-05-08,MTL,Fraser Matt,BOS,1-0,MTL,1,1:19
2014-05-13,MIN,Kane Patrick,CHI,2-1,MIN,1,9:42
2014-05-22,NYR,Galchenyuk Alex,MTL,3-2,NYR,1,1:12
2014-05-25,NYR,St. Louis Martin,NYR,3-2,MTL,1,6:02
2014-05-28,CHI,Handzus Michal,CHI,5-4,LAK,2,22:04
2014-06-01,CHI,Martinez Alec,LAK,5-4,CHI,1,5:47
2014-06-04,LAK,Williams Justin,LAK,3-2,NYR,1,4:36
2014-06-07,LAK,Brown Dustin,LAK,5-4,NYR,2,30:26
2014-06-13,LAK,Martinez Alec,LAK,3-2,NYR,2,34:43
