Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2009-04-16,CHI,Havlat Martin,CHI,3-2,CGY,1,0:12
2009-04-17,NJD,Gleason Tim,CAR,2-1,NJD,1,2:40
2009-04-17,PIT,Guerin Bill,PIT,3-2,PHI,1,18:29
2009-04-19,CAR,Zajac Travis,NJD,3-2,CAR,1,4:58
2009-04-21,STL,Burrows Alexandre,VAN,3-2,STL,1,19:41
2009-04-25,SJS,Marleau Patrick,SJS,3-2,ANA,1,6:02
2009-05-03,DET,Marchant Todd,ANA,4-3,DET,3,41:15
2009-05-06,CAR,Jokinen Jussi,CAR,3-2,BOS,1,2:48
2009-05-06,PIT,Letang Kris,PIT,3-2,WSH,1,11:23
2009-05-07,CHI,Ladd Andrew,CHI,2-1,VAN,1,2:52
2009-05-09,WSH,Malkin Evgeni,PIT,4-3,WSH,1,3:28
2009-05-11,PIT,Steckel David,WSH,5-4,PIT,1,6:22
2009-05-14,BOS,Walker Scott,CAR,3-2,BOS,1,18:46
2009-05-19,DET,Samuelsson Mikael,DET,3-2,CHI,1,5:14
2009-05-22,CHI,Sharp Patrick,CHI,4-3,DET,1,1:52
2009-05-27,DET,Helm Darren,DET,2-1,CHI,1,3:58
