Date,Location,Name,Team,Final Score,Opponent,OTs,OT Time Elapsed
2015-04-15,NSH,Keith Duncan,CHI,4-3,NSH,2,27:49
2015-04-17,MTL,Galchenyuk Alex,MTL,3-2,OTT,1,3:40
2015-04-19,NYI,Tavares John,NYI,2-1,WSH,1,0:15
2015-04-19,OTT,Weise Dale,MTL,2-1,OTT,1,8:47
2015-04-20,WPG,Rakell Rickard,ANA,5-4,WPG,1,5:12
2015-04-21,CHI,Seabrook Brent,CHI,3-2,NSH,3,41:00
2015-04-21,NYI,Backstrom Nicklas,WSH,2-1,NYI,1,11:09
2015-04-22,PIT,Hayes Kevin,NYR,2-1,PIT,1,3:14
2015-04-23,DET,Johnson Tyler,TBL,3-2,DET,1,2:25
2015-04-24,NYR,Hagelin Carl,NYR,2-1,PIT,1,10:52
2015-05-01,MTL,Kucherov Nikita,TBL,2-1,MTL,2,22:06
2015-05-05,CGY,Backlund Mikael,CGY,4-3,ANA,1,4:24
2015-05-08,NYR,McDonagh Ryan,NYR,2-1,WSH,1,9:37
2015-05-10,ANA,Perry Corey,ANA,3-2,CGY,1,2:26
2015-05-13,NYR,Stepan Derek,NYR,2-1,WSH,1,11:24
2015-05-19,ANA,Kruger Marcus,CHI,3-2,ANA,3,56:12
2015-05-20,TBL,Kucherov Nikita,TBL,6-5,NYR,1,3:33
2015-05-23,CHI,Vermette Antoine,CHI,5-4,ANA,2,25:37
